Seddelnummer;Landingsdato;Fartøy ID;Art FAO (kode);Art FAO (navn);Fangstområde (kode);Fangstområde (navn);Redskap (kode);Rundvekt (kg)
7-7000011647132-1;01.01.2024;2012056890;COD;Torsk;03;Øst-Finnmark;35;773.0
7-7000011647132-2;01.01.2024;2012056890;COD;Torsk;03;Øst-Finnmark;35;1615.5
7-7000011647152-1;02.01.2024;1992001651;COD;Torsk;03;Øst-Finnmark;32;350.0
7-7000011647152-2;02.01.2024;1992001651;COD;Torsk;03;Øst-Finnmark;32;557.0
7-7000011647158-1;02.01.2024;2022120658;COD;Torsk;03;Øst-Finnmark;22;388.0
7-7000011647172-7;02.01.2024;2007038108;COD;Torsk;03;Øst-Finnmark;20;401.0
7-7000011647193-4;02.01.2024;2016073034;COD;Torsk;03;Øst-Finnmark;22;280.0
7-7000011647201-1;02.01.2024;2019108873;COD;Torsk;03;Øst-Finnmark;32;59.0
7-7000011648950-1;02.01.2024;1982011534;COD;Torsk;03;Øst-Finnmark;32;0.0
7-7000011647131-1;01.01.2024;1977006206;COD;Torsk;04;Vest-Finnmark;22;4200.0
7-7000011647131-2;01.01.2024;1977006206;COD;Torsk;04;Vest-Finnmark;22;3447.0
7-7000011647131-3;01.01.2024;1977006206;COD;Torsk;04;Vest-Finnmark;22;2038.0
7-7000011647131-4;01.01.2024;1977006206;COD;Torsk;04;Vest-Finnmark;22;509.0
7-7000011647904-1;01.01.2024;1977006206;COD;Torsk;04;Vest-Finnmark;22;0.0
7-7000011647146-1;02.01.2024;1998012857;COD;Torsk;04;Vest-Finnmark;22;3355.92
7-7000011647146-2;02.01.2024;1998012857;COD;Torsk;04;Vest-Finnmark;22;13908.66
7-7000011647146-3;02.01.2024;1998012857;COD;Torsk;04;Vest-Finnmark;22;2291.56
7-7000011647147-6;02.01.2024;1995009266;COD;Torsk;04;Vest-Finnmark;22;946.0
7-7000011647129-1;01.01.2024;1978006966;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;220.5
7-7000011647133-1;01.01.2024;1995010273;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;202.96
7-7000011647137-1;01.01.2024;1994007316;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;286.74
7-7000011647138-1;01.01.2024;2022122257;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;615.96
7-7000011647142-1;01.01.2024;2016071793;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;374.0
7-7000011647143-8;01.01.2024;2021117057;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;903.0
7-7000011647311-1;01.01.2024;1982003829;COD;Torsk;05;Røstbanken til Malangsgrunnen;61;10422.0
7-7000011647145-1;02.01.2024;1994008209;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;118.0
7-7000011647154-6;02.01.2024;1996011620;COD;Torsk;05;Røstbanken til Malangsgrunnen;32;0.0
7-700005624305-6;01.01.2024;1991009695;COD;Torsk;06;Helgelandsbanken;22;6.0
7-700005624305-7;01.01.2024;1991009695;COD;Torsk;06;Helgelandsbanken;22;10.5
7-7000011647221-1;02.01.2024;1988005440;COD;Torsk;06;Helgelandsbanken;22;43.0
7-7000011647262-1;02.01.2024;1992003859;COD;Torsk;06;Helgelandsbanken;22;19.5
7-7000011647262-2;02.01.2024;1992003859;COD;Torsk;06;Helgelandsbanken;22;37.0
7-7000011647397-1;03.01.2024;2015071739;COD;Torsk;06;Helgelandsbanken;22;20.06
7-7000011647620-1;04.01.2024;2015071739;COD;Torsk;06;Helgelandsbanken;22;3.54
7-7000011647689-2;04.01.2024;2007037645;COD;Torsk;06;Helgelandsbanken;22;129.8
7-700005624308-5;07.01.2024;;COD;Torsk;06;Helgelandsbanken;22;9.3
6-259878-4;01.01.2024;1986004733;COD;Torsk;07;Storegga-Frøyabanken;33;9.0
7-7000011647135-1;01.01.2024;1984005700;COD;Torsk;07;Storegga-Frøyabanken;22;427.5
7-7000011647135-2;01.01.2024;1984005700;COD;Torsk;07;Storegga-Frøyabanken;22;37.5
7-7000011647136-1;01.01.2024;2020112693;COD;Torsk;07;Storegga-Frøyabanken;22;54.0
6-259881-5;02.01.2024;1994004742;COD;Torsk;07;Storegga-Frøyabanken;61;711.54
6-259895-1;02.01.2024;;COD;Torsk;07;Storegga-Frøyabanken;33;316.5
6-259897-1;02.01.2024;1988012458;COD;Torsk;07;Storegga-Frøyabanken;61;613.6
6-259898-1;02.01.2024;1988003881;COD;Torsk;07;Storegga-Frøyabanken;61;465.0
6-259903-1;02.01.2024;2013061552;COD;Torsk;07;Storegga-Frøyabanken;61;1772.36
4-3018410-8;02.01.2024;2017099513;COD;Torsk;08;Eigersundbanken;42;65.55
4-3018410-9;02.01.2024;2017099513;COD;Torsk;08;Eigersundbanken;42;11.55
4-3018411-2;02.01.2024;2000013887;COD;Torsk;08;Eigersundbanken;22;23.25
4-3018411-7;02.01.2024;2000013887;COD;Torsk;08;Eigersundbanken;22;4.5
4-3018413-2;02.01.2024;2017100473;COD;Torsk;08;Eigersundbanken;22;1.8
4-3018415-4;02.01.2024;2017075193;COD;Torsk;08;Eigersundbanken;22;94.5
4-3018415-5;02.01.2024;2017075193;COD;Torsk;08;Eigersundbanken;22;39.75
2-4035462-2;02.01.2024;2011056570;COD;Torsk;08;Eigersundbanken;22;9.44
2-4035556-1;06.01.2024;;COD;Torsk;08;Eigersundbanken;33;43.4
7-7000011647152-3;02.01.2024;1992001651;HAD;Hyse;03;Øst-Finnmark;32;390.0
7-7000011647152-4;02.01.2024;1992001651;HAD;Hyse;03;Øst-Finnmark;32;401.0
7-7000011647158-3;02.01.2024;2022120658;HAD;Hyse;03;Øst-Finnmark;22;3.0
7-7000011647172-3;02.01.2024;2007038108;HAD;Hyse;03;Øst-Finnmark;20;20.5
7-7000011647193-2;02.01.2024;2016073034;HAD;Hyse;03;Øst-Finnmark;22;150.0
7-7000011647201-5;02.01.2024;2019108873;HAD;Hyse;03;Øst-Finnmark;32;2911.0
7-7000011647201-6;02.01.2024;2019108873;HAD;Hyse;03;Øst-Finnmark;32;728.0
7-7000011647228-4;02.01.2024;1988006259;HAD;Hyse;03;Øst-Finnmark;22;180.0
7-7100010033419-10;05.01.2024;1999001513;HAD;Hyse;03;Øst-Finnmark;51;0.0
7-7000011647146-8;02.01.2024;1998012857;HAD;Hyse;04;Vest-Finnmark;22;11.4
7-7000011647147-3;02.01.2024;1995009266;HAD;Hyse;04;Vest-Finnmark;22;3.0
7-7000011647151-2;02.01.2024;2015071616;HAD;Hyse;04;Vest-Finnmark;22;5.0
7-7000011647159-3;02.01.2024;2011054488;HAD;Hyse;04;Vest-Finnmark;22;1.14
7-7000011647176-1;02.01.2024;1994010633;HAD;Hyse;04;Vest-Finnmark;22;1.0
7-7000011647181-2;02.01.2024;2003022526;HAD;Hyse;04;Vest-Finnmark;32;227.0
7-7000011647181-3;02.01.2024;2003022526;HAD;Hyse;04;Vest-Finnmark;32;140.0
7-7000011647185-2;02.01.2024;1988010382;HAD;Hyse;04;Vest-Finnmark;32;61.0
7-7000011647129-4;01.01.2024;1978006966;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;33.6
7-7000011647133-4;01.01.2024;1995010273;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;23.94
7-7000011647137-4;01.01.2024;1994007316;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;9.12
7-7000011647138-4;01.01.2024;2022122257;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;49.02
7-7000011647142-3;01.01.2024;2016071793;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;17.0
7-7000011647143-4;01.01.2024;2021117057;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;34.2
7-7000011647311-2;01.01.2024;1982003829;HAD;Hyse;05;Røstbanken til Malangsgrunnen;61;3172.0
7-7000011647149-2;02.01.2024;1990004459;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;28.0
7-7000011647187-5;02.01.2024;1990010087;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;0.0
7-700005624305-5;01.01.2024;1991009695;HAD;Hyse;06;Helgelandsbanken;22;15.96
7-7000011647221-2;02.01.2024;1988005440;HAD;Hyse;06;Helgelandsbanken;22;36.48
7-7000011647397-4;03.01.2024;2015071739;HAD;Hyse;06;Helgelandsbanken;22;42.18
7-7000011647620-4;04.01.2024;2015071739;HAD;Hyse;06;Helgelandsbanken;22;13.68
7-7000011647689-1;04.01.2024;2007037645;HAD;Hyse;06;Helgelandsbanken;22;899.46
7-7000011647752-2;04.01.2024;1988005440;HAD;Hyse;06;Helgelandsbanken;22;9.5
7-7000011647773-2;04.01.2024;1980006143;HAD;Hyse;06;Helgelandsbanken;22;67.0
7-7000011647846-3;04.01.2024;2009048128;HAD;Hyse;06;Helgelandsbanken;22;28.5
7-700005624308-3;07.01.2024;;HAD;Hyse;06;Helgelandsbanken;22;11.4
6-259881-1;02.01.2024;1994004742;HAD;Hyse;07;Storegga-Frøyabanken;61;115.14
6-259897-2;02.01.2024;1988012458;HAD;Hyse;07;Storegga-Frøyabanken;61;489.06
6-259898-7;02.01.2024;1988003881;HAD;Hyse;07;Storegga-Frøyabanken;61;355.0
6-259903-3;02.01.2024;2013061552;HAD;Hyse;07;Storegga-Frøyabanken;61;365.94
6-259906-2;02.01.2024;1998012575;HAD;Hyse;07;Storegga-Frøyabanken;61;292.98
6-259907-3;02.01.2024;2016073173;HAD;Hyse;07;Storegga-Frøyabanken;61;974.0
6-259907-4;02.01.2024;2016073173;HAD;Hyse;07;Storegga-Frøyabanken;61;408.12
6-259908-2;02.01.2024;1996006986;HAD;Hyse;07;Storegga-Frøyabanken;61;145.92
7-7100010033393-2;02.01.2024;2000013333;HAD;Hyse;07;Storegga-Frøyabanken;22;0.0
4-3018410-1;02.01.2024;2017099513;HAD;Hyse;08;Eigersundbanken;42;1.96
4-3018415-6;02.01.2024;2017075193;HAD;Hyse;08;Eigersundbanken;22;11.4
4-3018425-1;03.01.2024;2017099513;HAD;Hyse;08;Eigersundbanken;42;2.94
4-3018441-1;04.01.2024;2017099513;HAD;Hyse;08;Eigersundbanken;42;8.54
4-3018445-1;04.01.2024;2000013434;HAD;Hyse;08;Eigersundbanken;22;25.2
2-4035491-2;04.01.2024;1991008785;HAD;Hyse;08;Eigersundbanken;61;85.5
2-4035491-3;04.01.2024;1991008785;HAD;Hyse;08;Eigersundbanken;61;556.32
2-4035493-5;04.01.2024;1999008413;HAD;Hyse;08;Eigersundbanken;61;438.9
2-4035536-13;06.01.2024;1999008413;HAD;Hyse;08;Eigersundbanken;61;0.0
7-7000011647172-6;02.01.2024;2007038108;POK;Sei;03;Øst-Finnmark;20;974.5
7-7000011647193-6;02.01.2024;2016073034;POK;Sei;03;Øst-Finnmark;22;2078.0
7-7000011647193-7;02.01.2024;2016073034;POK;Sei;03;Øst-Finnmark;22;1000.0
7-7000011647201-9;02.01.2024;2019108873;POK;Sei;03;Øst-Finnmark;32;1.0
7-7000011647228-7;02.01.2024;1988006259;POK;Sei;03;Øst-Finnmark;22;1640.0
7-7000011647382-6;03.01.2024;2016073034;POK;Sei;03;Øst-Finnmark;22;725.0
7-7000011647382-7;03.01.2024;2016073034;POK;Sei;03;Øst-Finnmark;22;1000.0
7-7000011647444-6;03.01.2024;1988006259;POK;Sei;03;Øst-Finnmark;22;2800.0
7-7000011648776-1;05.01.2024;1999001513;POK;Sei;03;Øst-Finnmark;51;0.0
7-7000011647131-10;01.01.2024;1977006206;POK;Sei;04;Vest-Finnmark;22;443.0
8-1599341-5;02.01.2024;1989005179;POK;Sei;04;Vest-Finnmark;11;5.0
8-1599343-5;02.01.2024;1987009204;POK;Sei;04;Vest-Finnmark;11;6.0
8-1599346-5;02.01.2024;2005031505;POK;Sei;04;Vest-Finnmark;11;5.0
8-1599348-5;02.01.2024;1987003761;POK;Sei;04;Vest-Finnmark;11;6.0
8-1599350-5;02.01.2024;1989005179;POK;Sei;04;Vest-Finnmark;11;5.0
8-1599352-5;02.01.2024;2005031905;POK;Sei;04;Vest-Finnmark;11;5.0
7-7000011647146-6;02.01.2024;1998012857;POK;Sei;04;Vest-Finnmark;22;3294.0
7-7000011647204-1;02.01.2024;;POK;Sei;04;Vest-Finnmark;33;160.65
7-7000011647129-2;01.01.2024;1978006966;POK;Sei;05;Røstbanken til Malangsgrunnen;22;1303.2
7-7000011647129-3;01.01.2024;1978006966;POK;Sei;05;Røstbanken til Malangsgrunnen;22;1302.0
7-7000011647133-2;01.01.2024;1995010273;POK;Sei;05;Røstbanken til Malangsgrunnen;22;1960.8
7-7000011647133-3;01.01.2024;1995010273;POK;Sei;05;Røstbanken til Malangsgrunnen;22;1960.8
7-7000011647137-2;01.01.2024;1994007316;POK;Sei;05;Røstbanken til Malangsgrunnen;22;2158.8
7-7000011647137-3;01.01.2024;1994007316;POK;Sei;05;Røstbanken til Malangsgrunnen;22;2157.6
7-7000011647138-2;01.01.2024;2022122257;POK;Sei;05;Røstbanken til Malangsgrunnen;22;4339.2
7-7000011647138-3;01.01.2024;2022122257;POK;Sei;05;Røstbanken til Malangsgrunnen;22;4339.2
7-7000011647162-1;02.01.2024;;POK;Sei;05;Røstbanken til Malangsgrunnen;33;32.4
7-700005624305-1;01.01.2024;1991009695;POK;Sei;06;Helgelandsbanken;22;94.5
7-700005624305-2;01.01.2024;1991009695;POK;Sei;06;Helgelandsbanken;22;90.45
7-7000011647221-3;02.01.2024;1988005440;POK;Sei;06;Helgelandsbanken;22;1157.0
7-7000011647262-3;02.01.2024;1992003859;POK;Sei;06;Helgelandsbanken;22;17.0
7-7000011647397-2;03.01.2024;2015071739;POK;Sei;06;Helgelandsbanken;22;86.4
7-7000011647397-3;03.01.2024;2015071739;POK;Sei;06;Helgelandsbanken;22;240.0
7-7000011647620-2;04.01.2024;2015071739;POK;Sei;06;Helgelandsbanken;22;60.0
7-7000011647620-3;04.01.2024;2015071739;POK;Sei;06;Helgelandsbanken;22;72.0
7-7000011648119-1;05.01.2024;;POK;Sei;06;Helgelandsbanken;33;49.95
6-259878-1;01.01.2024;1986004733;POK;Sei;07;Storegga-Frøyabanken;33;2638.0
7-7000011647135-3;01.01.2024;1984005700;POK;Sei;07;Storegga-Frøyabanken;22;4.05
7-7000011647136-2;01.01.2024;2020112693;POK;Sei;07;Storegga-Frøyabanken;22;27.0
6-259881-4;02.01.2024;1994004742;POK;Sei;07;Storegga-Frøyabanken;61;3.6
6-259885-1;02.01.2024;2002018505;POK;Sei;07;Storegga-Frøyabanken;33;805.95
6-259893-3;02.01.2024;1994003167;POK;Sei;07;Storegga-Frøyabanken;20;5.4
6-259897-5;02.01.2024;1988012458;POK;Sei;07;Storegga-Frøyabanken;61;4.8
6-259898-6;02.01.2024;1988003881;POK;Sei;07;Storegga-Frøyabanken;61;1.0
7-7000011647160-4;02.01.2024;;POK;Sei;07;Storegga-Frøyabanken;22;8.1
4-3018410-7;02.01.2024;2017099513;POK;Sei;08;Eigersundbanken;42;2.7
4-3018411-5;02.01.2024;2000013887;POK;Sei;08;Eigersundbanken;22;87.89
4-3018415-10;02.01.2024;2017075193;POK;Sei;08;Eigersundbanken;22;13.5
4-3018431-5;03.01.2024;2000013887;POK;Sei;08;Eigersundbanken;22;79.25
4-3018431-9;03.01.2024;2000013887;POK;Sei;08;Eigersundbanken;22;14.04
4-3018442-5;04.01.2024;2000013887;POK;Sei;08;Eigersundbanken;22;49.68
4-3018445-3;04.01.2024;2000013434;POK;Sei;08;Eigersundbanken;22;63.18
2-4035493-3;04.01.2024;1999008413;POK;Sei;08;Eigersundbanken;61;6.0
4-7002968-1;07.01.2024;2009047388;POK;Sei;08;Eigersundbanken;22;0.0
7-7000011648600-3;08.01.2024;2007038108;COD;Torsk;03;Øst-Finnmark;20;313.0
7-7000011648614-3;08.01.2024;2016073034;COD;Torsk;03;Øst-Finnmark;22;562.0
7-7000011648643-1;08.01.2024;2022120658;COD;Torsk;03;Øst-Finnmark;22;2127.0
7-7000011648654-1;08.01.2024;2007037085;COD;Torsk;03;Øst-Finnmark;22;1095.0
7-7000011648766-1;08.01.2024;1992007762;COD;Torsk;03;Øst-Finnmark;42;37.0
7-7000011648825-3;08.01.2024;2008043190;COD;Torsk;03;Øst-Finnmark;42;255.0
7-7000011648864-2;08.01.2024;1988006259;COD;Torsk;03;Øst-Finnmark;22;260.0
7-7000011648875-1;08.01.2024;2019108873;COD;Torsk;03;Øst-Finnmark;32;44.0
7-7000011649478-1;08.01.2024;2000013339;COD;Torsk;03;Øst-Finnmark;51;0.0
8-1599471-7;08.01.2024;1987000597;COD;Torsk;04;Vest-Finnmark;11;24.0
8-1599494-5;08.01.2024;2022121977;COD;Torsk;04;Vest-Finnmark;11;16.0
8-1599495-5;08.01.2024;2018107593;COD;Torsk;04;Vest-Finnmark;11;16.0
8-1599513-5;08.01.2024;1999013090;COD;Torsk;04;Vest-Finnmark;11;16.0
7-7000011648586-3;08.01.2024;1999010280;COD;Torsk;04;Vest-Finnmark;22;28.5
7-7000011648586-4;08.01.2024;1999010280;COD;Torsk;04;Vest-Finnmark;22;4.5
7-7000011648588-10;08.01.2024;1998008157;COD;Torsk;04;Vest-Finnmark;22;0.0
7-7000011648588-7;08.01.2024;1998008157;COD;Torsk;04;Vest-Finnmark;22;256.5
7-7000011648588-8;08.01.2024;1998008157;COD;Torsk;04;Vest-Finnmark;22;924.0
7-7000011648570-1;08.01.2024;2016071793;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;96.0
7-7000011648570-2;08.01.2024;2016071793;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;145.5
7-7000011648571-1;08.01.2024;2016071793;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;175.5
7-7000011648572-1;08.01.2024;2016071793;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;219.0
7-7000011648575-7;08.01.2024;2004028145;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;200.0
7-7000011648575-8;08.01.2024;2004028145;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;419.0
7-7000011648575-9;08.01.2024;2004028145;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;619.0
7-7000011648582-1;08.01.2024;1995010273;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;301.0
7-7000011648853-3;08.01.2024;1967011839;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;0.0
7-7000011648579-3;08.01.2024;;COD;Torsk;06;Helgelandsbanken;33;10.5
7-7000011648641-4;08.01.2024;1987005358;COD;Torsk;06;Helgelandsbanken;22;52.5
7-7000011648658-4;08.01.2024;1995008373;COD;Torsk;06;Helgelandsbanken;22;14.16
7-7000011648678-6;08.01.2024;2013062553;COD;Torsk;06;Helgelandsbanken;22;4.5
7-7000011648742-2;08.01.2024;1984010334;COD;Torsk;06;Helgelandsbanken;22;12.0
7-7000011648752-1;08.01.2024;1991005902;COD;Torsk;06;Helgelandsbanken;22;11.4
7-7000011648794-6;08.01.2024;2009048128;COD;Torsk;06;Helgelandsbanken;22;6.0
7-7000011648806-3;08.01.2024;2002018781;COD;Torsk;06;Helgelandsbanken;33;48.0
7-7000011648806-4;08.01.2024;2002018781;COD;Torsk;06;Helgelandsbanken;33;10.0
6-260093-4;08.01.2024;1986003924;COD;Torsk;07;Storegga-Frøyabanken;20;9.0
6-260096-2;08.01.2024;1999003821;COD;Torsk;07;Storegga-Frøyabanken;33;13.5
6-260113-7;08.01.2024;1998009113;COD;Torsk;07;Storegga-Frøyabanken;61;130.98
6-260118-3;08.01.2024;2021117977;COD;Torsk;07;Storegga-Frøyabanken;61;126.26
6-260119-4;08.01.2024;1986007291;COD;Torsk;07;Storegga-Frøyabanken;20;12.0
6-260121-1;08.01.2024;1994004742;COD;Torsk;07;Storegga-Frøyabanken;61;101.48
6-260123-1;08.01.2024;1988012458;COD;Torsk;07;Storegga-Frøyabanken;61;354.0
6-260124-1;08.01.2024;1992004161;COD;Torsk;07;Storegga-Frøyabanken;20;139.24
7-7000011648577-1;08.01.2024;2006034006;COD;Torsk;07;Storegga-Frøyabanken;33;0.0
4-3018480-6;08.01.2024;2017099513;COD;Torsk;08;Eigersundbanken;42;57.9
4-3018480-7;08.01.2024;2017099513;COD;Torsk;08;Eigersundbanken;42;12.9
4-3018484-2;08.01.2024;2000013887;COD;Torsk;08;Eigersundbanken;22;22.2
4-3018484-9;08.01.2024;2000013887;COD;Torsk;08;Eigersundbanken;22;8.7
4-3018490-12;08.01.2024;2017100473;COD;Torsk;08;Eigersundbanken;22;48.0
4-3018490-2;08.01.2024;2017100473;COD;Torsk;08;Eigersundbanken;22;9.15
4-3018496-15;08.01.2024;2000013434;COD;Torsk;08;Eigersundbanken;22;0.0
4-3018496-5;08.01.2024;2000013434;COD;Torsk;08;Eigersundbanken;22;25.5
4-3018496-9;08.01.2024;2000013434;COD;Torsk;08;Eigersundbanken;22;43.05
7-7000011648614-2;08.01.2024;2016073034;HAD;Hyse;03;Øst-Finnmark;22;79.0
7-7000011648643-4;08.01.2024;2022120658;HAD;Hyse;03;Øst-Finnmark;22;8.0
7-7000011648825-1;08.01.2024;2008043190;HAD;Hyse;03;Øst-Finnmark;42;4.0
7-7000011648864-6;08.01.2024;1988006259;HAD;Hyse;03;Øst-Finnmark;22;24.0
7-7000011648875-5;08.01.2024;2019108873;HAD;Hyse;03;Øst-Finnmark;32;3239.0
7-7000011648875-6;08.01.2024;2019108873;HAD;Hyse;03;Øst-Finnmark;32;810.0
7-7000011648897-1;08.01.2024;2019110014;HAD;Hyse;03;Øst-Finnmark;61;7290.3
7-7000011649389-1;08.01.2024;2000013339;HAD;Hyse;03;Øst-Finnmark;51;2032.8
7-7100010033442-10;08.01.2024;2000013339;HAD;Hyse;03;Øst-Finnmark;51;0.0
7-7000011648588-5;08.01.2024;1998008157;HAD;Hyse;04;Vest-Finnmark;22;86.8
7-7000011648622-6;08.01.2024;1995004953;HAD;Hyse;04;Vest-Finnmark;22;1.14
7-7000011648630-2;08.01.2024;;HAD;Hyse;04;Vest-Finnmark;22;21.7
7-7000011648646-6;08.01.2024;1999001534;HAD;Hyse;04;Vest-Finnmark;22;12.54
7-7000011648657-4;08.01.2024;1985002702;HAD;Hyse;04;Vest-Finnmark;22;39.9
7-7000011648662-3;08.01.2024;2023124640;HAD;Hyse;04;Vest-Finnmark;22;4.56
7-7000011648682-1;08.01.2024;1983004746;HAD;Hyse;04;Vest-Finnmark;22;5.13
7-7000011648683-6;08.01.2024;1985011522;HAD;Hyse;04;Vest-Finnmark;22;79.8
7-7000011648687-2;08.01.2024;2017076773;HAD;Hyse;04;Vest-Finnmark;22;20.0
7-7000011648570-4;08.01.2024;2016071793;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;17.0
7-7000011648575-3;08.01.2024;2004028145;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;11.0
7-7000011648582-5;08.01.2024;1995010273;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;19.38
7-7000011648583-4;08.01.2024;1994007316;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;27.36
7-7000011648618-3;08.01.2024;1990008795;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;54.72
7-7000011648620-1;08.01.2024;1984005386;HAD;Hyse;05;Røstbanken til Malangsgrunnen;32;129.0
7-7000011648620-2;08.01.2024;1984005386;HAD;Hyse;05;Røstbanken til Malangsgrunnen;32;302.5
7-7000011648628-1;08.01.2024;2017075013;HAD;Hyse;05;Røstbanken til Malangsgrunnen;32;320.0
7-7100010033443-7;08.01.2024;2000013623;HAD;Hyse;05;Røstbanken til Malangsgrunnen;51;0.0
7-7000011648579-2;08.01.2024;;HAD;Hyse;06;Helgelandsbanken;33;12.54
7-7000011648658-7;08.01.2024;1995008373;HAD;Hyse;06;Helgelandsbanken;22;57.57
7-7000011648678-9;08.01.2024;2013062553;HAD;Hyse;06;Helgelandsbanken;22;19.38
7-7000011648742-5;08.01.2024;1984010334;HAD;Hyse;06;Helgelandsbanken;22;114.0
7-7000011648752-3;08.01.2024;1991005902;HAD;Hyse;06;Helgelandsbanken;22;135.09
7-7000011648794-5;08.01.2024;2009048128;HAD;Hyse;06;Helgelandsbanken;22;6.84
7-7000011648810-2;08.01.2024;1997012516;HAD;Hyse;06;Helgelandsbanken;32;55.0
7-7000011648810-3;08.01.2024;1997012516;HAD;Hyse;06;Helgelandsbanken;32;520.0
7-7000011648811-2;08.01.2024;1980006143;HAD;Hyse;06;Helgelandsbanken;22;141.5
6-260113-1;08.01.2024;1998009113;HAD;Hyse;07;Storegga-Frøyabanken;61;411.54
6-260118-1;08.01.2024;2021117977;HAD;Hyse;07;Storegga-Frøyabanken;61;127.68
6-260119-3;08.01.2024;1986007291;HAD;Hyse;07;Storegga-Frøyabanken;20;471.96
6-260121-6;08.01.2024;1994004742;HAD;Hyse;07;Storegga-Frøyabanken;61;443.46
6-260123-2;08.01.2024;1988012458;HAD;Hyse;07;Storegga-Frøyabanken;61;9.12
6-260127-4;08.01.2024;2020114294;HAD;Hyse;07;Storegga-Frøyabanken;61;436.62
6-260160-3;08.01.2024;2009047169;HAD;Hyse;07;Storegga-Frøyabanken;20;6.84
6-260162-5;08.01.2024;2021119099;HAD;Hyse;07;Storegga-Frøyabanken;20;5.7
7-7000011648578-1;08.01.2024;;HAD;Hyse;07;Storegga-Frøyabanken;22;4.2
4-3018480-1;08.01.2024;2017099513;HAD;Hyse;08;Eigersundbanken;42;154.42
4-3018490-3;08.01.2024;2017100473;HAD;Hyse;08;Eigersundbanken;22;446.04
4-3018496-1;08.01.2024;2000013434;HAD;Hyse;08;Eigersundbanken;22;192.22
2-4035545-10;08.01.2024;2023124495;HAD;Hyse;08;Eigersundbanken;51;159.6
2-4035563-10;08.01.2024;2015069733;HAD;Hyse;08;Eigersundbanken;51;39.9
2-4035563-2;08.01.2024;2015069733;HAD;Hyse;08;Eigersundbanken;51;9.12
2-4035569-3;08.01.2024;1991008785;HAD;Hyse;08;Eigersundbanken;61;30.78
2-4035569-4;08.01.2024;1991008785;HAD;Hyse;08;Eigersundbanken;61;71.82
4-7002969-3;08.01.2024;2009047388;HAD;Hyse;08;Eigersundbanken;22;0.0
7-7000011648600-2;08.01.2024;2007038108;POK;Sei;03;Øst-Finnmark;20;43.5
7-7000011648614-5;08.01.2024;2016073034;POK;Sei;03;Øst-Finnmark;22;3575.0
7-7000011648643-2;08.01.2024;2022120658;POK;Sei;03;Øst-Finnmark;22;37.0
7-7000011648654-2;08.01.2024;2007037085;POK;Sei;03;Øst-Finnmark;22;760.0
7-7000011648825-2;08.01.2024;2008043190;POK;Sei;03;Øst-Finnmark;42;18.0
7-7000011648864-4;08.01.2024;1988006259;POK;Sei;03;Øst-Finnmark;22;4528.0
7-7000011648875-8;08.01.2024;2019108873;POK;Sei;03;Øst-Finnmark;32;14.0
7-7000011649784-1;08.01.2024;2000013339;POK;Sei;03;Øst-Finnmark;51;561.6
7-7100010033442-11;08.01.2024;2000013339;POK;Sei;03;Øst-Finnmark;51;0.0
8-1599430-6;08.01.2024;1981008474;POK;Sei;04;Vest-Finnmark;11;54.0
8-1599438-5;08.01.2024;2001014761;POK;Sei;04;Vest-Finnmark;11;49.0
8-1599449-6;08.01.2024;1992003721;POK;Sei;04;Vest-Finnmark;11;199.0
8-1599470-6;08.01.2024;2001015341;POK;Sei;04;Vest-Finnmark;11;22.0
8-1599471-6;08.01.2024;1987000597;POK;Sei;04;Vest-Finnmark;11;16.0
8-1599474-6;08.01.2024;2008040308;POK;Sei;04;Vest-Finnmark;11;21.0
7-7000011648586-2;08.01.2024;1999010280;POK;Sei;04;Vest-Finnmark;22;257.85
7-7000011648588-6;08.01.2024;1998008157;POK;Sei;04;Vest-Finnmark;22;4016.25
