Seddelnummer;Landingsdato;Fartøy ID;Art FAO (kode);Art FAO (navn);Fangstområde (kode);Fangstområde (navn);Redskap (kode);Rundvekt (kg)
7-7000011708892-8;29.04.2024;1988011007;HAD;Hyse;04;Vest-Finnmark;61;2760.0
7-7000011709267-3;29.04.2024;;HAD;Hyse;04;Vest-Finnmark;22;11.4
7-7000011708785-2;29.04.2024;1978012084;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;78.66
7-7000011708799-1;29.04.2024;1979011940;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;4.56
7-7000011708808-3;29.04.2024;1982007393;HAD;Hyse;05;Røstbanken til Malangsgrunnen;31;16.0
7-7000011708815-4;29.04.2024;2003024685;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;287.28
7-7000011708838-4;29.04.2024;1991005092;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;58.14
7-7000011708849-1;29.04.2024;2018103053;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;20.52
7-7000011708851-6;29.04.2024;1998011358;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;5.7
7-7000011708852-2;29.04.2024;;HAD;Hyse;05;Røstbanken til Malangsgrunnen;22;7.0
7-7000011708853-1;29.04.2024;2016072053;HAD;Hyse;05;Røstbanken til Malangsgrunnen;61;8096.28
7-7000011708798-1;29.04.2024;2015071195;HAD;Hyse;06;Helgelandsbanken;22;88.92
7-7000011708811-1;29.04.2024;1993003528;HAD;Hyse;06;Helgelandsbanken;22;510.72
7-7000011708827-2;29.04.2024;1981006794;HAD;Hyse;06;Helgelandsbanken;22;57.4
7-7000011708829-2;29.04.2024;1999011605;HAD;Hyse;06;Helgelandsbanken;22;51.3
7-7000011708836-2;29.04.2024;;HAD;Hyse;06;Helgelandsbanken;22;136.8
7-7000011708850-2;29.04.2024;1993010858;HAD;Hyse;06;Helgelandsbanken;22;87.78
7-7000011708861-2;29.04.2024;2001015483;HAD;Hyse;06;Helgelandsbanken;22;35.34
7-7000011708890-4;29.04.2024;1994007732;HAD;Hyse;06;Helgelandsbanken;22;6.84
